name,year,1,2,3,4,5,6,7,8,9,out,10,11,12,13,14,15,16,17,18,in,tot,tourn_type,tourn_year
A1,12,7,4,4,4,5,4,5,6,6,45,6,5,5,5,7,4,5,4,5,46,91,sectionals,2011
A2,12,5,5,5,5,4,3,5,5,4,41,5,6,5,5,5,7,5,3,5,46,87,sectionals,2011
A3,12,7,5,6,6,5,6,5,5,4,49,6,6,6,4,7,6,7,4,5,52,101,sectionals,2011
A4,11,8,5,5,5,7,7,5,5,4,51,6,7,5,4,5,4,5,4,5,45,96,sectionals,2011
A5,11,14,4,5,4,3,6,7,4,4,51,6,6,11,9,7,8,5,5,7,64,115,sectionals,2011
A6,11,6,4,4,6,5,4,5,4,3,41,4,5,7,4,6,5,6,3,4,44,85,sectionals,2011
A7,11,7,4,4,5,5,4,7,5,6,47,5,7,9,4,7,4,4,3,4,47,94,sectionals,2011
A8,12,6,6,5,5,5,4,6,5,8,50,4,6,7,5,6,6,5,3,4,46,96,sectionals,2011
A9,9,7,7,7,5,6,4,5,4,4,49,10,6,9,5,5,6,5,4,7,57,106,sectionals,2011
A10,12,11,5,6,6,5,4,6,5,5,53,4,6,11,4,6,5,6,3,5,50,103,sectionals,2011
A11,11,7,6,5,4,4,5,4,5,3,43,5,5,7,6,5,5,4,4,3,44,87,sectionals,2011
A12,10,8,5,5,5,4,4,5,7,4,47,5,6,6,4,8,5,6,7,5,52,99,sectionals,2011
A13,12,6,5,5,6,7,4,8,5,6,52,7,6,5,4,6,5,5,4,6,48,100,sectionals,2011
A14,12,6,5,4,6,6,4,6,4,3,44,4,7,5,6,6,5,5,4,6,48,92,sectionals,2011
A15,11,8,7,5,7,7,7,7,5,4,57,5,7,7,5,5,7,6,4,6,52,109,sectionals,2011
A16,10,6,5,5,7,6,4,4,4,5,46,5,6,5,5,4,6,5,6,5,47,93,sectionals,2011
A17,10,7,7,5,7,7,5,7,5,5,55,4,6,7,7,6,6,8,2,5,51,106,sectionals,2011
A18,11,9,6,5,7,6,6,6,4,4,53,6,7,7,6,10,5,6,9,6,62,115,sectionals,2011
A19,12,8,4,5,7,6,3,4,6,3,46,6,7,7,5,6,7,4,5,6,53,99,sectionals,2011
A20,9,6,5,6,6,6,5,6,5,4,49,5,5,5,4,5,6,5,4,4,43,92,sectionals,2011
A21,12,6,4,4,4,5,4,4,6,5,42,6,5,6,4,5,5,4,4,6,45,87,sectionals,2011
A22,11,7,5,3,5,4,5,6,5,5,45,5,5,5,3,6,5,6,4,10,49,94,sectionals,2011
A23,11,5,6,7,5,5,4,5,5,4,46,7,7,5,6,7,5,5,5,6,53,99,sectionals,2011
A24,10,7,5,5,7,5,5,5,5,6,50,5,6,5,4,6,5,5,5,6,47,97,sectionals,2011
A25,10,6,5,5,5,5,4,6,6,3,45,5,7,5,4,6,5,5,5,5,47,92,sectionals,2011
A26,12,6,4,7,7,5,3,7,6,5,50,5,8,6,4,7,4,4,4,5,47,97,sectionals,2011
A27,12,5,5,4,5,4,4,5,4,5,41,5,5,6,3,6,6,5,4,4,44,85,sectionals,2011
A28,12,8,6,6,5,6,6,6,6,4,53,4,6,6,4,6,5,5,5,4,45,98,sectionals,2011
A29,9,6,5,3,6,6,3,7,6,5,47,5,5,4,4,5,5,5,6,8,47,94,sectionals,2011
A30,9,8,4,6,6,4,4,5,5,3,45,5,7,5,4,6,5,5,4,5,46,91,sectionals,2011
A31,11,6,5,5,5,5,4,4,6,4,44,5,4,7,4,5,6,4,4,5,44,88,sectionals,2011
A32,12,6,6,4,5,5,4,5,5,3,43,5,7,11,4,6,5,6,3,6,53,96,sectionals,2011
A33,10,7,6,6,6,5,4,7,4,5,50,4,7,7,5,8,7,6,5,5,54,104,sectionals,2011
A34,11,7,5,6,5,5,6,6,5,4,49,5,5,6,5,6,5,6,3,5,46,95,sectionals,2011
A35,11,9,7,7,5,5,4,6,6,6,55,6,6,6,4,7,6,7,6,6,54,109,sectionals,2011
A36,10,6,6,5,6,5,4,7,6,3,48,5,5,8,3,6,5,6,6,4,48,96,sectionals,2011
A37,12,6,6,4,5,6,3,6,6,3,45,6,6,5,4,10,6,5,3,6,51,96,sectionals,2011
A38,12,7,5,6,5,5,4,6,6,5,49,4,6,8,5,5,6,5,6,5,50,99,sectionals,2011
A39,10,8,6,5,6,5,4,6,6,4,50,4,7,7,5,5,6,6,4,6,50,100,sectionals,2011
A40,11,9,6,7,8,6,4,6,8,4,58,7,6,6,4,6,6,4,3,7,49,107,sectionals,2011
A41,12,5,6,7,5,5,5,6,5,4,48,5,6,8,4,5,5,4,3,5,45,93,sectionals,2011
A42,12,6,3,6,6,5,3,4,4,4,41,4,5,4,4,6,5,4,3,4,39,80,sectionals,2011
A43,12,7,4,7,5,5,4,5,4,4,45,5,6,5,4,6,6,5,4,5,46,91,sectionals,2011
A44,11,7,6,4,5,5,5,5,4,4,45,6,6,6,4,7,4,5,5,5,48,93,sectionals,2011
A45,12,5,5,4,6,6,4,5,4,4,43,5,5,5,6,5,5,5,6,5,47,90,sectionals,2011
A46,12,8,8,5,6,5,4,7,7,3,53,6,7,6,7,6,5,5,4,5,51,104,sectionals,2011
A47,12,5,6,4,5,4,3,5,3,5,40,6,5,6,4,5,5,6,5,5,47,87,sectionals,2011
A48,12,6,4,5,4,4,4,4,5,5,41,4,6,6,4,5,4,3,4,6,42,83,sectionals,2011
A49,12,10,5,6,6,4,4,6,4,5,50,4,6,5,4,5,7,5,3,5,44,94,sectionals,2011
A50,11,6,5,7,5,5,4,5,5,4,46,4,5,5,4,6,5,6,5,7,47,93,sectionals,2011
A51,12,7,5,6,7,5,5,8,5,5,53,4,8,9,4,5,5,4,4,6,49,102,sectionals,2011
A52,11,7,9,8,8,5,5,6,8,5,61,4,8,5,4,6,7,6,4,6,50,111,sectionals,2011
A53,11,5,4,7,8,5,5,6,7,4,51,7,5,5,4,6,6,5,5,5,48,99,sectionals,2011
A54,11,9,7,8,7,5,3,8,5,4,56,5,7,5,5,6,5,5,3,5,46,102,sectionals,2011
A55,9,10,6,7,6,7,5,9,5,5,60,6,7,6,8,7,5,7,6,6,58,118,sectionals,2011
A56,12,4,4,4,4,3,4,4,4,3,34,4,5,3,6,5,5,4,4,5,41,75,sectionals,2011
A57,11,5,5,4,5,6,5,6,4,4,44,7,8,10,8,6,6,5,4,5,59,103,sectionals,2011
A58,10,5,4,10,4,6,5,5,5,3,47,5,5,5,4,6,6,5,7,5,48,95,sectionals,2011
A59,10,8,6,5,3,7,4,5,5,5,48,5,6,6,4,9,6,5,4,5,50,98,sectionals,2011
A60,12,5,5,7,6,7,4,6,6,4,50,6,6,9,4,7,5,7,6,7,57,107,sectionals,2011
A61,12,6,5,4,5,4,4,4,4,3,39,5,5,4,4,5,5,4,6,4,42,81,sectionals,2011
A62,9,5,5,5,5,4,4,7,4,4,43,5,5,4,4,5,5,5,4,4,41,84,sectionals,2011
A63,11,7,5,4,6,5,3,6,5,3,44,5,6,5,3,6,4,5,3,5,42,86,sectionals,2011
A64,11,5,4,5,5,5,3,5,5,5,42,6,5,5,4,6,5,5,4,4,44,86,sectionals,2011
A65,12,6,4,5,6,5,3,5,5,4,43,6,5,4,2,6,7,5,5,5,45,88,sectionals,2011
A66,11,5,7,5,6,5,5,4,4,6,47,4,4,3,4,5,5,4,6,6,41,88,sectionals,2011
A67,12,6,7,5,4,5,5,4,5,4,45,6,5,5,5,7,5,4,3,4,44,89,sectionals,2011
A68,11,8,6,4,5,5,5,6,4,3,46,4,5,6,4,5,5,5,7,4,45,91,sectionals,2011
A69,11,6,6,5,5,5,4,6,6,4,47,5,6,6,4,6,6,5,4,6,48,95,sectionals,2011
A70,11,5,4,5,6,4,5,6,5,5,45,6,5,11,5,6,5,5,3,5,51,96,sectionals,2011
A71,11,6,5,6,6,5,5,7,5,4,49,7,7,7,5,6,5,5,6,6,54,103,sectionals,2011
A72,11,7,5,5,5,4,5,6,5,4,46,5,5,4,4,5,6,4,5,6,44,90,sectionals,2012
A73,12,6,5,6,6,4,3,6,6,3,45,6,8,5,5,7,5,5,3,6,50,95,sectionals,2012
A74,12,7,5,6,7,4,4,5,6,5,49,7,7,7,4,6,4,6,4,7,54,103,sectionals,2012
A75,10,7,6,6,6,5,5,6,6,5,52,5,6,7,4,6,5,4,5,5,47,99,sectionals,2012
A76,11,8,5,6,5,5,4,6,5,5,49,4,6,5,5,6,5,5,4,5,45,94,sectionals,2012
A77,12,10,5,5,5,7,6,9,6,3,56,5,7,7,2,7,7,7,4,6,52,108,sectionals,2012
A78,12,6,5,6,5,5,6,5,5,4,47,4,5,5,6,6,5,5,4,7,47,94,sectionals,2012
A79,12,6,5,7,6,5,4,6,6,4,49,7,6,9,7,6,6,5,5,5,56,105,sectionals,2012
A80,12,9,6,7,8,5,7,7,6,6,61,6,4,6,5,6,5,5,5,6,48,109,sectionals,2012
A81,10,11,8,8,6,6,5,6,7,4,61,6,8,6,5,9,6,7,5,6,58,119,sectionals,2012
A82,12,6,4,6,8,8,4,5,5,3,49,4,5,5,4,6,4,5,2,5,40,89,sectionals,2012
A83,12,6,6,6,5,4,4,4,7,4,46,4,7,5,2,6,6,6,5,5,46,92,sectionals,2012
A84,11,5,5,4,4,5,4,6,4,3,40,4,6,5,5,6,4,5,4,5,44,84,sectionals,2012
A85,11,4,6,5,6,4,6,5,4,3,43,5,6,4,6,5,5,4,4,5,44,87,sectionals,2012
A86,10,6,7,5,7,5,4,5,5,4,48,5,5,7,7,4,6,5,4,6,49,97,sectionals,2012
A87,11,5,6,6,6,5,4,4,5,3,44,5,7,8,4,7,6,5,5,6,53,97,sectionals,2012
A88,10,7,5,5,6,6,3,5,5,4,46,4,3,4,3,6,5,5,4,6,40,86,sectionals,2012
A89,10,8,4,4,6,5,4,4,5,3,43,6,6,5,4,5,4,4,5,6,45,88,sectionals,2012
A90,9,6,5,4,7,6,5,5,6,4,48,5,6,4,4,6,6,7,3,4,45,93,sectionals,2012
A91,10,7,6,6,6,5,3,7,6,4,50,5,6,5,3,8,7,7,5,7,53,103,sectionals,2012
A92,12,6,5,4,6,5,4,4,5,3,42,4,4,3,4,5,6,5,5,5,41,83,sectionals,2012
A93,11,7,4,6,6,5,4,5,6,4,47,4,5,5,4,5,5,5,4,4,41,88,sectionals,2012
A94,11,6,7,8,6,6,7,6,6,5,57,6,8,11,4,8,6,7,3,6,59,116,sectionals,2012
A95,12,9,6,7,8,5,5,7,8,5,60,7,8,5,4,8,7,7,4,7,57,117,sectionals,2012
A96,11,9,6,6,8,6,4,8,7,4,58,5,7,7,5,6,6,7,6,10,59,117,sectionals,2012
A97,12,6,5,5,7,5,5,6,5,3,47,5,5,4,4,6,5,5,4,5,43,90,sectionals,2012
A98,11,6,4,5,6,5,4,5,4,4,43,6,4,6,5,6,5,5,5,8,50,93,sectionals,2012
A99,10,5,5,7,6,5,4,5,5,4,46,4,5,6,4,6,5,5,6,6,47,93,sectionals,2012
A100,12,7,8,5,5,5,4,6,5,3,48,6,6,5,4,7,6,5,5,6,50,98,sectionals,2012
A101,10,6,6,5,6,4,5,5,5,3,45,7,6,4,3,6,4,5,5,5,45,90,sectionals,2012
A102,11,6,5,6,5,4,4,5,5,5,45,5,7,5,4,6,7,6,5,5,50,95,sectionals,2012
A103,12,6,5,5,6,5,4,7,6,5,49,5,5,11,4,6,5,5,4,6,51,100,sectionals,2012
A104,11,5,5,5,4,4,3,5,4,4,39,4,6,5,5,6,5,4,5,4,44,83,sectionals,2012
A105,11,8,7,6,5,6,3,9,6,5,55,5,7,4,4,7,5,5,5,5,47,102,sectionals,2012
A106,10,10,5,6,8,6,6,8,9,7,65,5,9,12,7,9,6,7,6,7,68,133,sectionals,2012
A107,11,8,3,5,5,5,4,5,5,5,45,4,6,6,5,6,5,4,5,4,45,90,sectionals,2012
A108,11,6,5,5,9,2,4,8,5,3,47,4,6,5,5,5,5,4,4,5,43,90,sectionals,2012
A109,11,7,6,5,5,5,3,6,5,3,45,5,5,7,4,6,5,5,4,4,45,90,sectionals,2012
A110,12,9,5,6,8,7,4,7,9,5,60,5,9,6,4,7,5,6,5,9,56,116,sectionals,2012
A111,12,6,6,7,7,6,4,7,5,6,54,7,8,7,5,7,5,6,6,7,58,112,sectionals,2012
A112,12,6,4,6,5,4,3,6,6,3,43,5,5,5,4,6,5,5,3,6,44,87,sectionals,2012
A113,11,7,6,5,5,5,5,6,4,5,48,5,5,6,3,5,5,6,5,5,45,93,sectionals,2012
A114,10,5,4,5,6,4,6,5,6,5,46,5,6,5,4,6,5,6,4,4,45,91,sectionals,2012
A115,9,9,4,5,6,5,4,5,6,4,48,6,5,6,4,5,5,4,3,4,42,90,sectionals,2012
A116,9,6,5,5,8,5,5,5,5,4,48,4,6,5,3,6,5,5,6,6,46,94,sectionals,2012
A117,12,8,4,5,4,5,5,3,4,4,42,4,5,4,3,6,4,4,4,5,39,81,sectionals,2012
A118,9,6,5,8,5,4,4,7,6,6,51,6,7,6,4,6,6,5,4,5,49,100,sectionals,2012
A119,9,6,7,6,6,6,5,5,4,3,48,5,6,4,4,7,6,5,5,4,46,94,sectionals,2012
A120,10,7,5,5,4,4,2,5,5,4,41,4,5,7,5,5,5,5,4,6,46,87,sectionals,2012
A121,11,6,5,7,6,4,5,5,5,3,46,4,9,8,4,5,5,5,6,5,51,97,sectionals,2012
A122,12,7,5,5,6,6,5,7,5,4,50,4,6,3,4,6,5,5,4,6,43,93,sectionals,2012
A123,12,6,5,4,5,5,5,5,6,3,44,5,6,3,3,6,5,5,4,5,42,86,sectionals,2012
A124,9,8,5,7,6,5,4,8,5,5,53,4,7,9,3,5,6,6,6,6,52,105,sectionals,2012
A125,11,4,6,6,6,5,6,5,4,4,46,5,6,5,5,6,5,6,5,5,48,94,sectionals,2012
A126,9,7,5,7,5,5,4,5,5,4,47,6,7,7,8,5,6,5,6,5,55,102,sectionals,2012
A127,12,6,6,5,5,5,3,4,4,4,42,4,5,5,4,7,5,4,3,5,42,84,sectionals,2012
A128,12,6,4,5,5,4,4,4,6,3,41,4,6,7,3,6,4,4,7,5,46,87,sectionals,2012
A129,10,7,5,5,6,5,8,5,5,3,49,6,7,5,6,6,5,5,4,5,49,98,sectionals,2012
A130,9,6,6,6,5,5,4,5,5,3,45,4,5,5,4,6,5,5,3,6,43,88,sectionals,2012
A131,9,4,5,6,7,6,5,9,5,5,52,6,6,7,6,6,7,5,5,8,56,108,sectionals,2012
A132,12,5,5,5,4,4,4,4,5,3,39,4,5,4,4,6,4,5,6,5,43,82,sectionals,2012
A133,12,5,5,4,5,5,4,5,5,3,41,5,5,7,4,6,5,5,3,4,44,85,sectionals,2012
A134,12,6,5,4,4,5,4,5,8,4,45,4,6,5,4,5,5,4,5,7,45,90,sectionals,2012
A135,9,6,6,4,7,3,4,5,5,3,43,7,6,6,4,6,8,4,3,5,49,92,sectionals,2012
A136,12,5,6,6,5,7,5,6,5,3,48,6,6,6,4,5,5,5,3,6,46,94,sectionals,2012
A137,12,8,5,5,7,5,3,6,5,3,47,5,5,5,4,6,5,8,3,6,47,94,sectionals,2012
A138,12,6,6,7,5,4,7,6,5,3,49,4,7,6,4,8,5,5,3,6,48,97,sectionals,2012
A139,12,9,5,6,7,6,3,7,7,4,54,4,5,8,4,6,5,6,4,5,47,101,sectionals,2012
A140,11,6,5,6,7,5,4,7,6,5,51,6,5,9,4,6,5,5,5,6,51,102,sectionals,2012
A141,10,5,6,6,8,6,4,5,7,6,53,5,7,8,4,9,5,5,3,4,50,103,sectionals,2012
A142,10,10,6,4,7,5,4,6,6,5,53,6,6,6,4,8,4,6,6,7,53,106,sectionals,2012
A143,11,10,6,9,5,4,7,8,8,7,64,6,7,9,8,7,9,7,7,11,71,135,sectionals,2012
A144,12,6,4,6,4,4,4,4,4,3,39,4,6,4,3,5,4,4,4,5,39,78,regionals,2013
A145,12,5,6,5,5,4,3,7,5,3,43,5,4,5,4,6,6,5,4,5,44,87,regionals,2013
A146,12,6,4,4,5,6,3,5,4,4,41,6,6,6,3,5,5,7,5,3,44,85,regionals,2013
A147,10,8,5,5,6,6,4,6,6,5,51,7,7,7,5,8,5,6,5,5,55,106,regionals,2013
A148,9,7,4,5,5,6,5,7,5,5,49,6,6,7,5,8,6,6,4,6,54,103,regionals,2013
A149,11,6,5,6,8,5,4,5,6,4,49,10,7,7,5,6,6,5,4,5,55,104,regionals,2013
A150,9,7,6,7,7,6,6,7,4,5,55,4,7,7,5,6,8,6,6,6,55,110,regionals,2013
A151,11,8,5,6,5,4,5,6,6,4,49,8,7,8,4,6,5,4,5,5,52,101,regionals,2013
A152,10,9,5,6,6,6,4,6,5,4,51,8,7,7,4,6,6,6,5,5,54,105,regionals,2013
A153,10,7,6,9,6,7,4,9,5,5,58,5,8,8,4,8,8,8,6,6,61,119,regionals,2013
A154,12,5,3,4,5,4,2,4,4,3,34,5,5,4,4,4,4,4,4,3,37,71,regionals,2013
A155,11,6,5,4,4,4,3,5,3,4,38,5,5,5,4,5,5,5,4,5,43,81,regionals,2013
A156,12,8,5,5,4,5,4,4,4,4,43,7,4,6,5,5,4,5,4,4,44,87,regionals,2013
A157,11,5,5,4,6,6,4,6,4,2,42,5,5,6,4,5,5,4,3,4,41,83,regionals,2013
A158,11,5,4,3,6,9,4,4,4,4,43,7,6,5,4,7,6,5,3,4,47,90,regionals,2013
A159,10,6,4,7,3,6,4,5,5,3,43,4,5,5,5,7,6,7,6,4,49,92,regionals,2013
A160,12,6,6,5,5,6,4,6,6,4,48,6,8,4,6,7,4,5,6,4,50,98,regionals,2013
A161,9,6,4,5,5,5,4,4,4,4,41,4,5,6,5,6,4,4,5,4,43,84,regionals,2013
A162,10,6,6,6,6,5,6,7,5,5,52,5,6,5,5,6,5,5,5,5,47,99,regionals,2013
A163,11,7,7,8,7,5,5,6,5,5,55,6,7,8,6,6,9,6,6,9,63,118,regionals,2013
A164,9,6,5,6,4,5,5,6,5,3,45,5,5,6,4,5,6,5,4,5,45,90,regionals,2013
